Team,Conference,NET Rank,PrevNET,AvgOppNETRank,AvgOppNET,WL,Conf.Record,Non-ConferenceRecord,RoadWL,SOS,NonConfSOS,Q1,Q2,Q3,Q4
UTRGV,WAC,259,260,136,171,11-17,5-13,6-4,3-10,,,0-3,1-3,1-8,9-3
American,Patriot,260,261,350,259,17-15,9-12,8-3,9-9,,,0-0,0-1,5-1,12-13
Canisius,MAAC,261,262,243,208,9-20,8-13,1-7,3-12,,,0-2,0-3,1-5,8-10
Fairfield,MAAC,262,264,284,223,12-18,9-12,3-6,4-10,,,0-2,0-3,2-2,10-11
Rhode Island,Atlantic 10,263,265,139,172,9-22,5-14,4-8,1-10,,,0-1,0-4,3-10,6-7
Nicholls,Southland,264,263,320,239,12-15,11-8,1-7,4-12,,,0-4,0-1,0-4,12-6
ETSU,SoCon,265,266,254,211,10-20,8-11,2-9,4-9,,,0-0,0-4,3-8,7-8
Southern Ind.,OVC,266,257,333,247,13-17,9-10,4-7,5-11,,,0-1,0-1,3-4,10-11
New Hampshire,America East,267,268,296,228,13-15,10-8,3-7,4-11,,,0-0,0-5,3-4,10-6
Mount St. Mary's,MAAC,268,267,281,221,12-20,9-13,3-7,7-10,,,0-3,0-2,3-3,9-12
Loyola Chicago,Atlantic 10,269,269,144,174,10-21,4-15,6-6,3-8,,,0-2,1-4,3-10,6-5
FDU,NEC,270,301,360,281,19-16,12-7,7-9,8-9,,,1-2,0-0,1-2,17-12
Lafayette,Patriot,271,271,269,216,11-23,9-12,2-11,5-16,,,0-2,0-5,2-6,9-10
Lehigh,Patriot,272,274,313,236,14-14,11-8,3-6,7-8,,,0-2,0-3,1-2,13-7
Maine,America East,273,275,264,215,11-17,7-10,4-7,5-12,,,0-1,0-6,2-5,9-5
Tennessee Tech,OVC,274,270,317,237,13-17,12-8,1-9,4-11,,,0-1,0-3,0-4,13-9
Dartmouth,Ivy League,275,279,175,186,8-18,6-8,2-10,3-11,,,1-0,0-4,4-8,3-6
Oakland,Horizon,276,272,203,195,12-19,11-10,1-9,5-10,,,0-2,0-5,3-8,9-4
North Dakota,Summit League,277,273,243,208,11-20,7-13,4-7,4-11,,,0-4,0-1,2-6,9-9
Southern U.,SWAC,278,276,336,251,13-17,11-8,2-9,5-12,,,0-4,0-2,0-2,13-9
Marist,MAAC,279,282,312,235,13-20,9-15,4-5,4-9,,,0-1,0-2,1-5,12-12
Tennessee St.,OVC,280,280,356,268,14-14,10-9,4-5,4-8,,,0-0,0-2,1-2,13-10
Prairie View,SWAC,281,278,334,248,11-19,9-10,2-9,4-14,,,0-4,0-0,1-3,10-12
UC San Diego,Big West,282,277,167,182,8-20,5-13,3-7,6-9,,,0-2,1-2,2-12,5-4
Illinois St.,MVC,283,281,237,206,11-21,6-15,5-6,3-9,,,0-1,0-4,4-7,7-9
UTSA,CUSA,284,288,115,151,8-22,4-17,4-5,2-11,,,0-6,0-4,4-5,4-7
Arkansas St.,Sun Belt,285,283,225,202,10-20,5-15,5-5,2-11,,,0-0,0-4,1-12,9-4
Bowling Green,MAC,286,284,259,213,9-20,5-13,4-7,4-11,,,0-1,0-3,2-9,7-7
Miami (OH),MAC,287,286,220,201,9-20,6-13,3-7,3-9,,,0-2,0-5,1-6,8-7
UIC,MVC,288,285,227,203,11-20,4-17,7-3,3-11,,,0-2,0-6,0-8,11-4
Denver,Summit League,289,287,330,246,13-17,6-13,7-4,4-11,,,0-2,0-1,0-5,13-9
High Point,Big South,290,290,291,226,12-17,6-13,6-4,2-11,,,0-0,1-1,0-8,11-8
Georgia St.,Sun Belt,291,291,154,178,7-21,3-16,4-5,0-11,,,0-1,0-3,2-11,5-6
Bucknell,Patriot,292,295,336,251,11-20,5-14,6-6,3-13,,,0-1,0-1,0-5,11-13
Morgan St.,MEAC,293,292,289,225,11-16,8-8,3-8,3-12,,,0-3,1-2,1-4,9-7
Valparaiso,MVC,294,289,210,198,10-21,5-16,5-5,2-12,,,0-1,1-7,0-8,9-5
Coastal Carolina,Sun Belt,295,293,190,190,8-20,5-14,3-6,3-11,,,0-1,0-4,3-7,5-8
ULM,Sun Belt,296,296,139,172,8-21,7-12,1-9,4-10,,,0-2,1-7,2-6,5-6
Binghamton,America East,297,300,287,224,11-18,9-9,2-9,5-11,,,0-1,0-5,2-5,9-7
CSU Bakersfield,Big West,298,297,186,189,9-22,7-15,2-7,3-12,,,0-0,0-6,2-11,7-5
Manhattan,MAAC,299,302,298,229,11-18,10-11,1-7,6-7,,,0-3,0-1,2-1,9-13
South Dakota,Summit League,300,298,239,207,10-19,7-12,3-7,2-11,,,0-3,1-2,2-4,7-10
Merrimack(AQ),NEC,301,307,353,262,16-16,15-4,1-12,8-8,,,0-1,0-4,0-4,16-7
Chicago St.,DI Independent,302,299,243,208,7-20,0-0,7-20,3-20,,,0-4,0-4,0-7,7-5
Wagner,NEC,303,311,363,291,13-13,8-9,5-4,7-9,,,0-1,1-1,0-1,12-10
Charleston So.,Big South,304,304,264,215,8-21,6-14,2-7,3-12,,,0-2,0-1,1-9,7-9
Saint Peter's,MAAC,305,306,308,233,13-18,9-14,4-4,4-11,,,0-3,0-1,0-4,13-10
East Texas A&M,Southland,306,303,346,256,12-20,9-10,3-10,7-13,,,0-1,1-0,3-7,8-12
Texas Southern(AQ),SWAC,307,294,303,231,12-21,10-11,2-10,3-13,,,0-4,1-4,1-1,10-12
Jackson St.,SWAC,308,305,320,239,14-19,13-7,1-12,6-14,,,0-4,0-3,1-4,13-8
Northeastern,CAA,309,312,264,215,10-20,6-13,4-7,3-12,,,0-2,0-5,1-6,9-7
Stonehill,NEC,310,314,354,264,13-17,10-6,3-11,6-12,,,0-2,0-3,0-1,13-11
Cal Poly,Big West,311,308,151,177,6-25,2-19,4-6,1-13,,,0-0,0-8,2-10,4-7
Idaho,Big Sky,312,310,272,218,8-22,4-15,4-7,4-11,,,0-0,0-2,4-7,4-13
Kansas City,Summit League,313,309,243,208,10-20,7-12,3-8,3-11,,,0-4,2-1,1-4,7-11
Louisville,ACC,314,315,57,112,4-28,2-19,2-9,0-11,,,0-10,1-6,0-8,3-4
California,Pac-12,315,313,37,104,3-29,2-19,1-10,0-12,,,0-7,0-11,2-7,1-4
William & Mary,CAA,316,316,257,212,11-20,8-12,3-8,1-14,,,0-4,0-2,3-6,8-8
Omaha,Summit League,317,317,200,194,8-23,5-15,3-8,1-15,,,0-6,0-3,0-5,8-9
N.C. A&T,CAA,318,318,264,215,10-19,8-11,2-8,4-10,,,0-3,1-2,1-8,8-6
Loyola Maryland,Patriot,319,321,317,237,11-20,8-12,3-8,3-13,,,0-2,0-2,0-3,11-13
Alabama A&M,SWAC,320,319,339,252,12-18,11-9,1-9,5-8,,,0-2,0-1,1-4,11-11
Eastern Mich.,MAC,321,320,205,196,7-23,5-13,2-10,2-13,,,0-2,0-5,3-5,4-11
Sacred Heart,NEC,322,326,362,286,15-17,9-9,6-8,7-11,,,0-2,0-1,0-2,15-12
Little Rock,OVC,323,322,335,249,8-21,6-12,2-9,2-16,,,0-2,0-2,1-1,7-16
Tulsa,American,324,324,104,145,5-25,1-18,4-7,0-12,,,0-6,0-7,1-8,4-4
Austin Peay,ASUN,325,325,191,191,6-22,3-15,3-7,1-13,,,0-3,0-2,1-8,5-9
Western Mich.,MAC,326,323,225,202,5-23,4-14,1-9,1-15,,,0-3,0-5,1-4,4-11
Stony Brook,CAA,327,327,264,215,9-22,7-13,2-9,3-13,,,0-3,0-3,0-9,9-7
Coppin St.,MEAC,328,328,229,204,9-23,4-11,5-12,5-16,,,0-3,0-3,2-10,7-7
Central Ark.,ASUN,329,330,208,197,8-22,4-14,4-8,2-13,,,0-4,0-2,2-5,6-11
The Citadel,SoCon,330,331,251,209,9-22,5-14,4-8,4-11,,,0-2,0-5,2-6,7-9
Central Mich.,MAC,331,329,251,209,8-21,5-13,3-8,3-12,,,1-2,0-2,0-9,7-8
Saint Francis,NEC,332,336,357,270,11-18,10-8,1-10,3-13,,,0-2,0-2,0-2,11-12
Ark.-Pine Bluff,SWAC,333,332,313,236,6-21,6-12,0-9,2-16,,,0-5,0-1,0-3,6-12
NJIT,America East,334,334,298,229,6-23,4-13,2-10,2-15,,,0-1,0-3,0-7,6-12
CSUN,Big West,335,333,200,194,5-25,4-17,1-8,0-14,,,0-1,0-4,2-10,3-10
Holy Cross,Patriot,336,337,322,240,8-22,7-12,1-10,4-11,,,0-1,0-2,1-2,7-17
Elon,CAA,337,335,277,219,6-24,6-13,0-11,3-12,,,0-3,0-1,0-8,6-12
Lindenwood,OVC,338,338,323,241,8-21,6-13,2-8,2-14,,,0-2,0-2,0-3,8-14
Columbia,Ivy League,339,341,179,187,5-22,2-12,3-10,1-13,,,0-3,1-2,0-8,4-9
McNeese,Southland,340,339,308,233,10-23,8-13,2-10,3-14,,,0-4,0-2,1-3,9-14
Central Conn. St.,NEC,341,343,359,274,10-22,7-10,3-12,4-14,,,0-1,0-2,0-3,10-16
New Orleans,Southland,342,340,341,253,10-20,9-12,1-8,4-10,,,0-2,0-1,1-4,9-13
UAlbany,America East,343,342,270,217,6-23,3-13,3-10,1-16,,,0-3,0-3,1-6,5-11
UIW,Southland,344,345,354,264,9-19,6-12,3-7,3-12,,,0-1,0-1,1-4,8-13
Eastern Ill.,OVC,345,344,326,244,7-22,5-13,2-9,3-12,,,1-2,0-1,1-2,5-17
Alabama St.,SWAC,346,346,326,244,7-23,6-12,1-11,2-18,,,0-4,0-2,0-4,7-13
South Carolina St.,MEAC,347,347,243,208,4-26,2-13,2-13,1-19,,,0-2,0-2,2-10,2-12
Hampton,CAA,348,349,279,220,7-24,5-14,2-10,1-13,,,0-1,0-6,0-7,7-10
Bethune-Cookman,SWAC,349,348,351,261,10-20,8-11,2-9,3-13,,,0-3,0-0,0-3,10-14
St. Francis Brooklyn,NEC,350,353,361,285,12-16,7-10,5-6,4-11,,,0-1,0-1,0-3,12-11
Monmouth,CAA,351,351,203,195,7-26,6-14,1-12,3-15,,,0-3,0-7,0-8,7-8
Evansville,MVC,352,350,175,186,5-27,1-20,4-7,1-14,,,0-1,0-7,0-10,5-9
Presbyterian,Big South,353,352,289,225,3-27,1-18,2-9,0-15,,,0-1,0-2,0-9,3-15
Delaware St.,MEAC,354,355,279,220,5-23,4-12,1-11,2-14,,,0-5,0-0,0-7,5-11
VMI,SoCon,355,354,220,201,4-25,2-17,2-8,1-14,,,0-0,0-4,0-11,4-10
Lamar University,Southland,356,356,347,257,6-22,5-13,1-9,2-12,,,0-1,0-1,0-4,6-16
Houston Christian,Southland,357,357,343,254,7-22,7-12,0-10,2-13,,,0-3,0-0,0-4,7-15
Mississippi Val.,SWAC,358,358,291,226,5-27,4-14,1-13,1-19,,,0-4,0-5,0-2,5-16
Florida A&M,SWAC,359,359,313,236,5-22,5-13,0-9,3-15,,,0-5,0-0,0-4,5-13
IU Indy,Horizon,360,360,303,231,3-27,2-19,1-8,0-15,,,0-2,0-1,0-8,3-16
Green Bay,Horizon,361,361,243,208,3-29,2-19,1-10,1-17,,,0-1,0-4,1-11,2-13
LIU,NEC,362,362,336,251,1-26,1-16,0-10,1-14,,,0-2,0-3,0-2,1-19
Hartford,DI Independent,363,363,343,254,2-23,0-0,2-23,0-11,,,0-0,0-2,0-5,2-16
