Team,Conference,NET Rank,PrevNET,AvgOppNETRank,AvgOppNET,WL,Conf.Record,Non-ConferenceRecord,RoadWL,SOS,NonConfSOS,Q1,Q2,Q3,Q4
Kansas City,WAC,252,252,232,211,13-14,8-7,8-7,5-9,289,198,0-2,0-3,3-2,10-7
Canisius,MAAC,253,253,266,225,12-20,7-14,5-6,4-12,241,210,0-0,0-1,5-8,7-11
Lipscomb,ASUN,254,254,254,220,14-16,11-8,5-8,7-11,201,72,0-4,1-3,1-2,12-7
ULM,Sun Belt,255,255,145,172,7-20,5-15,4-5,2-12,128,22,0-2,0-5,1-10,6-3
N.C. Central,MEAC,256,256,337,251,15-13,14-3,4-10,5-13,320,45,0-2,0-3,0-4,15-4
UMass Lowell,America East,257,257,266,225,12-19,7-10,6-9,5-10,254,265,0-2,0-2,2-3,10-12
Campbell,Big South,258,258,347,258,13-16,6-13,9-3,6-10,343,350,0-0,0-0,2-6,11-10
Elon,CAA,259,259,177,185,10-21,9-12,4-9,3-12,196,302,0-2,0-4,3-10,7-5
UTRGV,WAC,260,260,236,212,10-16,9-7,5-9,3-11,202,50,0-3,0-2,0-6,10-5
Cal St. Fullerton,Big West,261,261,208,198,9-20,6-10,5-10,4-11,269,233,0-2,1-2,1-9,7-7
Milwaukee,Horizon,262,262,251,219,10-19,7-12,5-7,4-9,240,175,0-2,0-1,3-6,7-10
N.C. A&T,MEAC,263,263,315,242,16-15,13-4,4-11,4-12,315,73,0-2,0-4,1-4,15-5
Evansville,MVC,264,264,123,157,8-23,0-19,9-4,3-10,164,287,1-1,0-5,3-12,4-5
Southern U.,SWAC,265,265,340,254,15-15,14-5,3-10,5-14,326,54,0-2,0-3,0-6,15-4
Army West Point,Patriot,266,266,300,234,14-15,10-9,5-6,6-9,281,329,0-1,0-1,2-6,12-7
Lamar University,Southland,267,267,315,242,14-15,11-10,6-5,6-10,287,168,0-1,0-3,1-4,13-7
UAlbany,America East,268,268,283,229,13-18,7-10,7-8,5-11,283,304,0-1,0-2,3-6,10-9
Manhattan,MAAC,269,269,300,234,13-18,9-13,4-5,5-11,277,319,0-1,0-1,1-7,12-9
Tennessee St.,OVC,270,270,296,233,16-15,10-10,8-5,4-11,278,241,0-2,0-3,1-5,15-5
Wyoming,Mountain West,271,271,94,136,8-24,4-17,5-7,3-8,126,326,0-6,1-6,2-8,5-4
LIU,NEC,272,272,293,232,14-18,10-10,5-8,6-11,248,107,0-3,0-0,0-7,14-8
Weber St.,Big Sky,273,273,158,178,9-20,8-13,4-7,4-9,149,56,0-2,0-3,2-11,7-4
Troy,Sun Belt,274,274,186,189,7-22,5-15,4-7,3-13,220,295,0-1,2-1,2-11,3-9
Portland,WCC,275,275,120,156,7-23,1-16,8-7,2-10,142,277,0-6,0-4,2-9,5-4
Texas Southern,SWAC,276,276,262,223,15-16,13-6,3-10,5-15,205,2,0-6,0-2,1-3,14-5
UNC Asheville,Big South,277,277,346,257,13-16,9-11,6-5,5-10,337,322,0-1,0-1,1-4,12-10
Grand Canyon,WAC,278,278,236,212,13-16,8-8,5-9,4-6,262,147,0-1,0-4,2-4,11-7
Idaho St.,Big Sky,279,279,192,191,6-22,5-16,3-6,3-13,190,207,0-0,0-5,3-8,3-9
James Madison,CAA,280,280,205,197,8-21,2-17,7-4,3-11,213,231,0-1,0-2,1-11,7-7
FDU,NEC,281,281,283,229,10-19,9-10,2-9,4-14,263,123,0-2,0-1,1-5,9-11
Purdue Fort Wayne,Summit League,282,282,239,213,11-19,7-11,7-8,3-13,297,321,0-1,0-5,1-7,10-6
CSU Bakersfield,WAC,283,283,228,207,9-19,6-10,6-9,3-12,227,94,0-3,0-3,0-4,9-9
Jacksonville St.,OVC,284,284,315,242,11-19,8-11,5-8,4-11,346,344,0-3,0-2,0-4,11-10
Fairfield,MAAC,285,285,247,217,12-20,8-13,4-7,6-9,245,243,0-2,0-1,2-7,10-10
Bethune-Cookman,MEAC,286,286,347,258,13-14,10-6,6-8,4-13,339,245,0-3,0-1,0-2,13-8
San Jose St.,Mountain West,287,287,87,129,6-24,3-16,4-8,1-12,100,84,0-3,1-8,3-8,2-5
Lehigh,Patriot,288,288,210,199,9-21,8-12,3-9,3-15,132,51,0-2,0-4,2-7,7-8
Jackson St.,SWAC,289,289,338,252,13-17,12-7,3-10,6-14,333,146,0-2,0-3,0-5,13-7
Southern Miss.,CUSA,290,290,126,158,6-22,5-13,4-9,1-12,181,41,0-3,0-4,1-8,5-7
Eastern Ky.,OVC,291,291,277,228,14-17,13-7,3-10,5-10,191,99,0-2,0-2,1-8,13-5
VMI,SoCon,292,292,192,191,6-24,4-16,5-8,2-12,223,347,0-3,0-5,1-9,5-7
Cornell,Ivy League,293,293,183,188,5-20,4-10,3-10,1-14,176,234,0-3,0-4,1-5,4-8
Stetson,ASUN,294,294,283,229,14-17,10-8,6-9,7-9,290,285,1-3,1-1,0-2,12-11
McNeese,Southland,295,295,334,248,11-17,10-11,5-6,5-11,332,76,0-3,0-0,1-5,10-9
Middle Tenn.,CUSA,296,296,143,171,5-23,4-14,4-9,3-10,165,31,0-1,0-3,1-15,4-4
UNCW,CAA,297,297,154,176,7-22,5-14,5-8,1-12,179,223,0-2,0-3,4-8,3-9
North Ala.,ASUN,298,298,293,232,11-17,8-9,5-8,4-13,309,264,0-4,0-3,0-2,11-8
Mount St. Mary's,NEC,299,299,304,235,10-21,7-12,4-9,3-15,291,300,0-3,0-0,0-6,10-12
Grambling,SWAC,300,300,350,260,13-15,11-8,6-7,6-12,353,266,0-3,0-0,0-4,13-8
Northwestern St.,Southland,301,301,331,247,12-15,12-9,3-6,5-10,342,248,0-1,0-3,1-3,11-8
Longwood,Big South,302,302,353,268,12-18,9-10,5-8,6-11,341,330,0-0,0-1,1-6,11-11
Florida A&M,MEAC,303,303,291,231,12-15,10-6,2-9,4-13,323,178,0-3,1-2,1-3,10-7
Cleveland St.,Horizon,304,304,203,196,10-21,7-12,4-9,3-13,208,102,0-3,0-3,0-11,10-4
St. Francis Brooklyn,NEC,305,305,325,245,12-18,7-12,6-6,4-13,293,314,0-1,0-0,0-7,12-10
Long Beach St.,Big West,306,306,139,168,9-21,6-10,5-11,2-13,182,74,1-5,0-2,3-7,5-7
Detroit Mercy,Horizon,307,307,198,193,8-23,6-12,2-11,2-14,209,164,0-3,0-3,2-9,6-8
Hampton,Big South,308,308,276,227,12-19,10-11,5-8,3-14,192,133,0-1,0-3,2-6,10-9
Niagara,MAAC,309,309,241,214,12-20,10-11,2-9,2-17,184,64,0-2,0-2,3-6,9-10
NJIT,ASUN,310,310,258,222,8-21,6-11,3-10,4-14,279,274,0-5,0-3,1-1,7-12
Marist,MAAC,311,311,335,249,7-23,6-15,1-8,3-12,321,353,0-0,0-0,0-6,7-17
FGCU,ASUN,312,312,239,213,8-22,7-10,3-12,4-12,229,115,0-4,0-2,0-5,8-11
Morgan St.,MEAC,313,313,344,256,12-16,9-7,6-9,7-7,352,224,0-1,0-2,2-3,10-10
A&M-Corpus Christi,Southland,314,314,315,242,12-18,10-11,4-7,4-11,327,262,0-0,1-1,0-9,11-8
Central Ark.,Southland,315,315,216,203,9-21,9-11,1-10,2-16,157,6,0-5,0-3,0-6,9-7
Charleston So.,Big South,316,316,323,244,12-18,8-12,6-6,5-11,299,109,0-2,1-1,1-4,10-11
Columbia,Ivy League,317,317,196,192,5-24,1-13,5-11,0-16,212,268,0-3,0-5,0-9,5-7
Maine,America East,318,318,222,204,8-22,5-12,4-10,3-15,218,275,0-3,0-5,0-5,8-9
USC Upstate,Big South,319,319,293,232,11-20,8-12,5-8,4-13,246,110,0-3,0-1,0-7,11-9
Idaho,Big Sky,320,320,201,195,6-24,4-17,4-7,2-12,224,278,0-0,1-2,1-14,4-8
Morehead St.,OVC,321,321,327,246,11-19,7-12,6-7,2-14,336,343,0-1,0-3,0-5,11-10
Coppin St.,MEAC,322,322,331,247,11-20,7-9,4-11,6-15,351,259,0-1,1-3,1-4,9-12
Cal Poly,Big West,323,323,174,184,5-23,4-12,3-11,0-15,134,19,0-4,0-2,1-8,4-9
Alcorn,SWAC,324,324,340,254,11-15,11-8,4-7,4-13,350,161,0-2,0-1,0-4,11-8
Samford,SoCon,325,325,161,179,7-23,4-15,6-8,3-14,187,253,0-3,0-7,0-9,7-4
Denver,Summit League,326,326,205,197,6-24,3-14,4-10,0-14,221,232,0-1,0-5,1-9,5-9
IU Indy,Horizon,327,327,231,210,5-25,3-16,4-9,3-14,264,244,0-1,1-4,2-7,2-13
Wagner,NEC,328,328,288,230,7-21,5-13,3-8,3-13,282,144,0-3,0-0,1-4,6-14
South Carolina St.,MEAC,329,329,347,258,9-18,6-11,5-7,3-12,330,151,0-2,0-1,0-3,9-12
Presbyterian,Big South,330,330,325,245,8-22,7-12,3-10,3-14,303,311,0-2,0-1,1-4,7-15
Tennessee Tech,OVC,331,331,271,226,7-22,6-12,3-10,3-12,222,57,0-0,0-4,1-6,6-12
Binghamton,America East,332,332,251,219,8-19,4-12,6-7,3-12,252,257,0-1,0-2,3-4,5-12
High Point,Big South,333,333,258,222,7-23,6-13,3-10,3-14,204,42,0-2,0-1,0-10,7-10
Western Ill.,Summit League,334,334,236,212,3-21,2-14,3-7,1-11,267,290,0-1,1-2,0-6,2-12
New Orleans,Southland,335,335,266,225,5-21,5-15,4-6,3-13,258,5,0-4,0-2,0-4,5-11
SIUE,OVC,336,336,304,235,6-23,5-13,3-10,4-13,319,313,0-1,1-2,0-7,5-13
Alabama St.,SWAC,337,337,265,224,8-24,7-12,1-12,3-16,304,55,0-5,0-3,0-4,8-12
UT Martin,OVC,338,338,255,221,7-20,5-13,4-7,2-12,244,23,0-3,0-2,1-4,6-11
The Citadel,SoCon,339,339,148,174,3-24,0-19,6-5,3-12,186,318,0-4,0-4,0-9,3-7
Alabama A&M,SWAC,340,340,339,253,8-22,5-14,3-8,2-16,349,229,0-2,0-2,0-5,8-13
Southeastern La.,Southland,341,341,309,237,5-23,5-15,3-8,2-14,318,237,0-1,0-2,0-8,5-12
Southeast Mo. St.,OVC,342,342,310,238,5-24,3-15,4-9,0-16,334,325,0-1,0-1,0-9,5-13
Holy Cross,Patriot,343,343,216,203,3-28,2-17,1-12,0-16,174,119,0-1,0-1,1-14,2-12
Houston Christian,Southland,344,344,248,218,4-25,4-16,0-9,2-15,249,37,0-4,0-2,0-6,4-13
Delaware St.,MEAC,345,345,351,261,5-25,5-13,1-13,2-12,340,215,0-1,0-2,0-1,5-21
UIW,Southland,346,346,336,250,6-22,6-14,3-8,2-13,331,320,0-0,0-4,0-4,6-14
Central Conn. St.,NEC,347,347,248,218,3-27,3-15,1-12,0-16,268,281,0-3,0-2,0-6,3-16
Ark.-Pine Bluff,SWAC,348,348,283,229,3-26,3-15,1-11,2-18,312,52,0-2,0-7,0-2,3-15
Howard,MEAC,349,349,327,246,3-28,2-16,2-13,1-14,324,130,0-1,0-2,0-6,3-19
UMES,MEAC,350,350,300,234,4-27,4-13,1-14,1-20,328,97,0-5,0-1,0-5,4-16
Mississippi Val.,SWAC,351,351,321,243,3-27,3-15,0-12,2-19,335,183,0-0,0-6,0-6,3-15
Kennesaw St.,ASUN,352,352,215,202,1-28,0-16,1-12,0-16,183,44,0-3,0-4,0-4,1-17
Chicago St.,WAC,353,353,232,211,1-25,0-14,4-11,1-12,265,263,0-2,0-3,0-3,1-17
